-0.1339  	-0.0684  	-0.4916  	0.54671  	0.36820  	0.36321  	0.19130  	0.25437  	0.36300  	0.43773  	0.79394  	0.71235  	-0.5295  	-0.8996  	-0.5500  	-0.0886  	0.61530  	0.44087  	0.79557  	0.47642  	0.38834  	0.65280  	0.35335  	0.16480  	0.48110  	0.15172  	0.17827  	-0.3287  	-0.1742  	-0.2615  	-0.2634  	-0.0936  	0.12886  	-0.0638  	0.06710  	-0.1040  	0.06380  	-0.0020  	0.13729  	-0.0802  	-0.2648  	-0.0728  	0.05813  	0.00421  	0.02711  	0.02483  	-0.0065  	0.02030  	0.03332  	-0.0889  	-0.0404  	-0.0288  	-0.0201  	-0.0412  	0.01303  	0.04859  	0.03344  	0.02362  	-0.0114  	-0.0235  	-0.0318  	0.00098  	0.08693  	0.00205  	0.01637  	0.04970  	-0.0773  	0.00896  	0.05003  	0.83653  	1.11780  	125.760  	104.299  	
-0.2342  	-0.0272  	-0.5942  	0.73115  	0.43749  	0.43617  	0.16647  	0.25740  	0.35992  	0.36543  	0.66406  	0.73373  	-0.5624  	-0.8208  	-0.4481  	-0.1880  	0.68138  	0.38506  	0.82757  	0.45677  	0.39823  	0.71085  	0.34232  	0.22073  	0.56163  	0.15896  	0.27764  	-0.3219  	-0.1277  	-0.1804  	-0.2997  	-0.0907  	0.10595  	-0.0814  	0.07300  	-0.0728  	0.06238  	-0.0158  	0.15356  	-0.1083  	-0.3110  	-0.0728  	0.05049  	0.00281  	0.03208  	0.03218  	-0.0172  	0.01782  	0.02157  	-0.0949  	-0.0325  	-0.0289  	-0.0233  	-0.0495  	0.01120  	0.05284  	0.02926  	0.03805  	-0.0131  	-0.0240  	-0.0289  	-0.0078  	0.08937  	0.00199  	0.01994  	0.05438  	-0.0761  	0.00813  	0.05078  	0.82060  	1.11780  	125.760  	104.299  	
-0.1927  	-0.0401  	-0.6761  	0.98948  	0.58961  	0.38652  	0.20349  	0.34087  	0.36220  	0.29684  	0.50711  	0.79007  	-0.4375  	-0.5892  	-0.1764  	-0.2651  	0.66792  	0.37133  	0.78611  	0.47417  	0.36559  	0.70952  	0.31031  	0.21579  	0.59297  	0.17481  	0.20037  	-0.2623  	-0.0380  	-0.1478  	-0.3026  	-0.1281  	0.13600  	-0.0529  	0.07077  	-0.1489  	-0.0454  	-0.0531  	0.18348  	-0.0852  	-0.3244  	-0.0501  	0.04804  	-0.0130  	0.02680  	0.02865  	-0.0024  	0.01345  	0.02798  	-0.1005  	-0.0503  	-0.0251  	-0.0233  	-0.0423  	0.00586  	0.04187  	0.03371  	0.02543  	-0.0048  	-0.0255  	-0.0342  	0.00370  	0.08191  	0.00403  	0.02299  	0.05810  	-0.0750  	0.00733  	0.05134  	0.80730  	1.11780  	125.760  	104.299  	
-0.1629  	-0.0125  	-0.7709  	1.10129  	0.68355  	0.38756  	0.20043  	0.39887  	0.38408  	0.23626  	0.43128  	0.81675  	-0.3445  	-0.4233  	0.02894  	-0.3090  	0.67444  	0.32616  	0.81214  	0.39506  	0.37644  	0.72182  	0.32608  	0.14993  	0.64026  	0.17321  	0.29373  	-0.2864  	-0.0172  	-0.0927  	-0.2901  	-0.1355  	0.14343  	-0.0615  	0.12480  	-0.2310  	-0.0379  	-0.0495  	0.17747  	-0.1038  	-0.3907  	-0.0537  	0.01430  	-0.0124  	0.02628  	0.02558  	-0.0014  	0.01763  	0.03940  	-0.0942  	-0.0549  	-0.0294  	-0.0336  	-0.0449  	0.00579  	0.04879  	0.02703  	0.03059  	-0.0010  	-0.0322  	-0.0329  	0.00450  	0.06924  	-0.0072  	0.02551  	0.06085  	-0.0742  	0.00657  	0.05173  	0.79666  	1.11780  	125.760  	104.299  	
-0.2750  	-0.0160  	-0.7289  	0.96877  	0.66441  	0.34698  	0.15675  	0.39628  	0.41127  	0.26480  	0.46186  	0.96353  	-0.3836  	-0.3951  	0.15145  	-0.3117  	0.66274  	0.30140  	0.80406  	0.42655  	0.42683  	0.69800  	0.35933  	0.23544  	0.45544  	0.18538  	0.25991  	-0.3317  	-0.1569  	-0.2104  	-0.2423  	-0.1362  	0.18756  	-0.0547  	0.14203  	-0.2750  	0.02434  	-0.0556  	0.14056  	-0.0866  	-0.3635  	-0.0368  	-0.0268  	0.00277  	0.01908  	0.02884  	0.01111  	0.02579  	0.02103  	-0.0757  	-0.0515  	-0.0277  	-0.0358  	-0.0408  	0.00133  	0.05252  	0.02326  	0.02907  	-1.4275  	-0.0224  	-0.0266  	0.01273  	0.07314  	-0.0101  	0.02750  	0.06263  	-0.0736  	0.00584  	0.05194  	0.78866  	1.11780  	125.760  	104.299  	
0.08086  	0.14402  	-0.2984  	0.72520  	0.33425  	0.48180  	0.18114  	0.52264  	0.50375  	0.25205  	0.57770  	0.76841  	-0.3888  	-0.4330  	-0.0309  	-0.2055  	0.74142  	0.32121  	0.81906  	0.37540  	0.65087  	0.69806  	0.52094  	0.24859  	0.39414  	0.15486  	0.26566  	-0.6090  	-0.3567  	-0.2755  	-0.2546  	-0.1048  	0.22004  	-0.0815  	0.12208  	-0.3780  	0.22985  	0.04062  	0.12198  	-0.1291  	-0.3224  	-0.0983  	0.07477  	0.01901  	0.02119  	0.02405  	-0.0055  	0.02400  	0.03372  	-0.0741  	-0.0726  	-0.0281  	-0.0334  	-0.0301  	0.00713  	0.05786  	0.00485  	0.01156  	-0.0185  	-0.0269  	-0.0249  	0.01997  	0.07211  	0.00261  	0.02896  	0.06345  	-0.0732  	0.00515  	0.05198  	0.78331  	1.11780  	125.760  	104.299  	
0.13658  	0.14203  	-0.2406  	0.63742  	0.29841  	0.46345  	0.22909  	0.59588  	0.52398  	0.28524  	0.79536  	0.80000  	-0.4424  	-0.4658  	-0.2735  	-0.0904  	0.60661  	0.32653  	0.82405  	0.40907  	0.71871  	0.68528  	0.50441  	0.15604  	0.44430  	0.12925  	0.26993  	-0.6247  	-0.2984  	-0.2608  	-0.2741  	-0.0608  	0.22522  	-0.0828  	0.11944  	-0.3327  	0.22629  	0.07947  	0.10257  	-0.1389  	-0.2914  	-0.1160  	0.09301  	0.03645  	0.02363  	0.02521  	-0.0111  	0.04683  	0.02942  	-0.0979  	-0.0602  	-0.0328  	-0.0231  	-0.0381  	0.00393  	0.06040  	0.01137  	0.02050  	-0.0163  	-0.0200  	-0.0225  	0.00613  	0.06909  	0.00070  	0.02989  	0.06331  	-0.0731  	0.00449  	0.05184  	0.78061  	1.11780  	125.760  	104.299  	
-0.3221  	0.00546  	-0.5789  	0.66747  	0.40385  	0.23699  	0.20111  	0.34174  	0.41468  	0.39170  	0.75544  	0.81133  	-0.4623  	-0.5780  	-0.1919  	-0.2761  	0.68294  	0.34227  	0.79808  	0.47749  	0.57721  	0.63952  	0.41636  	0.22447  	0.43957  	0.13202  	0.28811  	-0.5584  	-0.2885  	-0.2517  	-0.2233  	-0.1144  	0.15291  	-0.0622  	0.09066  	-0.2495  	0.14456  	-0.0018  	0.09661  	-0.1062  	-0.3136  	-0.0711  	0.02895  	-0.0054  	0.01652  	0.01940  	0.00656  	0.03064  	0.01129  	-0.0881  	-0.0490  	-0.0294  	-0.0390  	-0.0382  	-0.0006  	0.06457  	0.03478  	0.02704  	-0.0180  	-0.0330  	-0.0274  	0.00998  	0.07409  	0.00236  	0.03026  	0.06135  	-0.0731  	0.00456  	0.05056  	0.78556  	1.11780  	125.760  	104.299  	
-0.6553  	-0.1234  	-0.6958  	0.17597  	0.15405  	0.20755  	0.13023  	0.31060  	0.41428  	0.42091  	0.83193  	0.62345  	-0.5142  	-0.8598  	-0.4781  	-0.4217  	0.71379  	0.39766  	0.81403  	0.41025  	0.47939  	0.60881  	0.47504  	0.17045  	0.37106  	0.21147  	0.11833  	-0.4592  	-0.1858  	-0.2368  	-0.1937  	-0.1192  	0.15521  	-0.0533  	-0.0021  	-0.1842  	0.06095  	-0.0005  	0.12667  	-0.1093  	-0.2706  	-0.0910  	0.04503  	-0.0190  	0.02121  	0.04118  	0.01095  	-0.0136  	0.01300  	-0.0757  	-0.0655  	-0.0252  	-0.0383  	-0.0304  	0.00840  	0.03040  	0.02526  	0.03537  	-0.0157  	-0.0230  	-0.0269  	0.02393  	0.07693  	0.00245  	0.02881  	0.05913  	-0.0734  	0.00390  	0.05035  	0.78947  	1.11780  	125.760  	104.299  	
-0.6297  	-0.1005  	-0.6530  	-0.0065  	0.01055  	0.13861  	0.17351  	0.22039  	0.32837  	0.52061  	0.88552  	0.57450  	-0.5401  	-0.9547  	-0.6295  	-0.4484  	0.72413  	0.39991  	0.85409  	0.41125  	0.44152  	0.66438  	0.55342  	0.06720  	0.47047  	0.20381  	0.14440  	-0.4564  	-0.1367  	-0.2526  	-0.1636  	-0.1510  	0.12636  	-0.0755  	-0.1695  	-0.1581  	0.07079  	0.00967  	0.15140  	-0.1327  	-0.1624  	-0.1024  	0.08433  	0.01827  	0.03456  	0.02074  	0.00752  	0.01013  	0.01168  	-0.0815  	-0.0697  	-0.0203  	-0.0333  	-0.0302  	0.00321  	0.03941  	0.01731  	0.02486  	-0.0201  	-0.0174  	-0.0164  	0.01141  	0.07960  	-0.0095  	0.02833  	0.05581  	-0.0739  	0.00306  	0.05024  	0.78922  	1.11780  	125.760  	104.299  	
-0.6691  	-0.1346  	-0.6673  	0.08530  	0.08846  	0.12653  	0.18281  	0.18007  	0.34614  	0.48234  	0.78431  	0.56354  	-0.5493  	-1.0212  	-0.6204  	-0.3953  	0.72320  	0.40241  	0.84243  	0.40372  	0.33191  	0.64994  	0.55678  	0.02712  	0.46150  	0.24271  	0.12279  	-0.3544  	-0.0975  	-0.2848  	-0.1445  	-0.1483  	0.13575  	-0.0640  	-0.1929  	-0.1423  	0.02397  	-0.0159  	0.20883  	-0.1494  	-0.1703  	-0.1160  	0.08605  	0.03010  	0.02770  	0.01671  	-0.0008  	0.02420  	0.00030  	-0.0783  	-0.0540  	-0.0207  	-0.0345  	-0.0391  	0.00415  	0.04183  	0.02255  	0.02729  	-0.0190  	-0.0199  	-0.0144  	0.01086  	0.09225  	0.00287  	0.02781  	0.05245  	-0.0745  	0.00228  	0.04965  	0.79764  	1.11780  	125.760  	104.299  	
-0.5599  	-0.0862  	-0.6417  	0.23239  	0.14338  	0.19851  	0.13112  	0.27344  	0.38503  	0.39489  	0.75896  	0.62270  	-0.5621  	-0.9297  	-0.5448  	-0.3554  	0.71771  	0.38759  	0.84738  	0.36598  	0.41747  	0.70135  	0.61843  	0.12795  	0.41307  	0.22555  	0.13409  	-0.3905  	-0.1445  	-0.2706  	-0.2076  	-0.1373  	0.12973  	-0.0755  	-0.1166  	-0.1981  	0.05612  	-0.0123  	0.14966  	-0.1292  	-0.1735  	-0.0974  	0.06710  	0.02635  	0.01894  	0.02300  	0.00743  	0.02559  	0.01253  	-0.0875  	-0.0604  	-0.0223  	-0.0347  	-0.0364  	0.00737  	0.03735  	0.02849  	0.02698  	-0.0099  	-0.0256  	-0.0209  	0.00714  	0.08122  	0.00772  	0.02749  	0.04765  	-0.0752  	0.00150  	0.04908  	0.80240  	1.11780  	125.760  	104.299  	
